/a/abbey 0,/a/outdoor 0
/m/marsh 116,/m/outdoor 116
/m/martial_arts_gym 117,/m/indoor 117
/m/mausoleum 118,/m/outdoor 118
/m/medina 119,/m/outdoor 119
/m/motel 120,/m/motel 120
/m/mountain 121,/m/outdoor 121
/m/mountain_snowy 122,/m/outdoor 122
/m/music_studio 123,/m/indoor 123
/m/market/outdoor 124,/m/outdoor 124
/m/monastery/outdoor 125,/m/outdoor 125
/m/museum/indoor 126,/m/indoor 126
/n/nursery 127,/n/indoor 127
/o/ocean 128,/o/outdoor 128
/o/office 129,/o/indoor 129
/o/office_building 130,/o/outdoor 130
/o/orchard 131,/o/outdoor 131
/p/pagoda 132,/p/outdoor 132
/p/palace 133,/p/outdoor 133
/p/pantry 134,/p/indoor 134
/p/parking_lot 135,/p/outdoor 135
/p/parlor 136,/p/indoor 136
/p/pasture 137,/p/outdoor 137
/p/patio 138,/p/outdoor 138
/p/pavilion 139,/p/pavilion 139
/p/phone_booth 140,/p/outdoor 140
/p/picnic_area 141,/p/outdoor 141
/p/playground 142,/p/outdoor 142
/p/plaza 143,/p/outdoor 143
/p/pond 144,/p/outdoor 144
/p/pulpit 145,/p/indoor 145
/r/racecourse 146,/r/outdoor 146
/r/raft 147,/r/outdoor 147
/r/railroad_track 148,/r/outdoor 148
/r/rainforest 149,/r/outdoor 149
/r/reception 150,/r/indoor 150
/r/residential_neighborhood 151,/r/outdoor 151
/r/restaurant 152,/r/indoor 152
/r/restaurant_kitchen 153,/r/indoor 153
/r/restaurant_patio 154,/r/outdoor 154
/r/rice_paddy 155,/r/outdoor 155
/r/river 156,/r/outdoor 156
/r/rock_arch 157,/r/outdoor 157
/r/rope_bridge 158,/r/outdoor 158
/r/ruin 159,/r/outdoor 159
/r/runway 160,/r/outdoor 160
/s/sandbar 161,/s/outdoor 161
/s/schoolhouse 162,/s/outdoor 162
/s/sea_cliff 163,/s/outdoor 163
/s/shed 164,/s/shed 164
/s/shoe_shop 165,/s/indoor 165
/s/shopfront 166,/s/outdoor 166
/s/shower 167,/s/indoor 167
/s/ski_resort 168,/s/outdoor 168
/s/ski_slope 169,/s/outdoor 169
/s/sky 170,/s/outdoor 170
/s/skyscraper 171,/s/outdoor 171
/s/slum 172,/s/outdoor 172
/s/snowfield 173,/s/outdoor 173
/s/staircase 174,/s/indoor 174
/s/supermarket 175,/s/indoor 175
/s/swamp 176,/s/outdoor 176
/s/stadium/baseball 177,/s/stadium/baseball 177
/s/stadium/football 178,/s/outdoor 178
/s/stage/indoor 179,/s/indoor 179
/s/subway_station/platform 180,/s/subway_station/platform 180
/s/swimming_pool/outdoor 181,/s/outdoor 181
/t/television_studio 182,/t/indoor 182
/t/topiary_garden 183,/t/outdoor 183
/t/tower 184,/t/outdoor 184
/t/train_railway 185,/t/outdoor 185
/t/tree_farm 186,/t/outdoor 186
/t/trench 187,/t/outdoor 187
/t/temple/east_asia 188,/t/outdoor 188
/t/temple/south_asia 189,/t/outdoor 189
/t/track/outdoor 190,/t/outdoor 190
/t/train_station/platform 191,/t/train_station/platform 191
/u/underwater/coral_reef 192,/u/outdoor 192
/v/valley 193,/v/valley 193
/v/vegetable_garden 194,/v/outdoor 194
/v/veranda 195,/v/outdoor 195
/v/viaduct 196,/v/outdoor 196
/v/volcano 197,/v/outdoor 197
/w/waiting_room 198,/w/indoor 198
/w/water_tower 199,/w/outdoor 199
/w/watering_hole 200,/w/outdoor 200
/w/wheat_field 201,/w/outdoor 201
/w/wind_farm 202,/w/outdoor 202
/w/windmill 203,/w/outdoor 203
/y/yard 204,/y/outdoor 204
